State,Industrial Code,No. of Persons Engaged (no.),Workers,Directly Employed,Men,Women,Employed Through Contractors,Employees Other Than Workers,Supervisory and Managerial,Other Employees,Unpaid family members/proprietor etc,Total Mandays Employed (in '000),Wages and Salaries Including,Wages and Salary Including Bonus,Wages and Salary,workers,Supervisory & Managerial,Other Employees,Bonus to All Staff,Employers' Contribution,
Uttar Pradesh,181,15815,10319,8741,8663,78,1578,5379,1769,3610,118,4870,51853,47877,46629,17731,18257,10641,1248,3976,
Uttar Pradesh,191,1019,857,776,770,6,81,162,71,91,0,286,1341,1318,1309,1047,164,98,9,23,
Uttar Pradesh,192,7033,5684,1550,1537,13,4134,1344,471,873,5,2171,59509,41602,35530,21556,6030,7944,6072,17907,
Uttar Pradesh,201,27799,20233,9336,9080,256,10898,7479,4166,3313,86,8964,195574,160811,154870,47214,84578,23078,5941,34763,
Uttar Pradesh,202,28275,21510,12838,12254,584,8672,6636,3203,3433,129,8505,90006,82878,80138,34540,32489,13109,2740,7128,
Uttar Pradesh,203,2741,2279,1716,1669,47,563,462,320,142,0,897,9175,8605,8410,4047,3723,640,195,570,
Uttar Pradesh,210,19374,12140,7940,7550,390,4200,7217,2123,5094,18,5877,97231,86961,83453,22913,36123,24417,3508,10270,
Uttar Pradesh,221,8981,6988,5008,4787,221,1981,1924,1016,908,69,2669,38685,35395,34499,15013,15453,4033,896,3290,
Uttar Pradesh,222,57127,42899,29912,28201,1711,12987,13983,7594,6389,245,16946,183154,168813,163479,62505,82655,18319,5334,14341,
Uttar Pradesh,231,15038,12308,11529,11334,195,780,2666,1281,1385,64,4385,25715,24260,23578,13290,7730,2558,682,1455,
Uttar Pradesh,239,42572,36215,12039,11866,173,24176,6205,2933,3272,152,10689,94364,87343,83826,43822,27854,12150,3517,7021,
Uttar Pradesh,241,19101,15041,9470,9419,51,5571,4032,1976,2056,28,5745,64813,59810,57986,27243,25666,5077,1824,5003,
Uttar Pradesh,242,15520,13317,6374,6363,11,6943,2188,1094,1094,15,5360,79150,66262,64306,40687,20657,2962,1956,12888,
Uttar Pradesh,243,11048,8590,6611,6563,48,1979,2405,1355,1050,54,3278,28115,26190,25691,12478,10025,3188,499,1925,
Uttar Pradesh,251,9740,7271,5054,5038,16,2217,2394,1171,1223,75,2909,28979,26631,25957,10844,11421,3692,672,2348,
Uttar Pradesh,259,35264,28951,17407,16792,615,11544,5943,3111,2832,370,10529,96749,88527,85847,40830,35688,9329,2681,8222,
Uttar Pradesh,261,22893,19909,10351,9107,1244,9557,2975,1411,1564,10,6914,56981,50586,49210,29778,14206,5226,1376,6395,
Uttar Pradesh,262,3161,2056,1259,1153,106,797,1105,357,748,0,932,25760,23433,22502,5169,13151,4182,932,2327,
Uttar Pradesh,263,46378,40815,12988,12398,590,27827,5563,1809,3754,1,12834,302217,263977,254033,92672,139094,22267,9943,38240,
Uttar Pradesh,264,7125,5126,3493,3068,425,1633,1966,760,1206,34,2143,37963,32428,31204,9794,9534,11876,1224,5535,
Uttar Pradesh,265,7820,4543,3522,3186,336,1021,3277,1006,2271,1,2308,64344,58708,56861,9302,35717,11842,1848,5636,
Uttar Pradesh,267,478,380,250,238,12,130,98,54,44,0,145,1970,1757,1727,760,738,229,30,213,
Uttar Pradesh,271,13801,9832,6609,6483,126,3223,3920,2163,1757,49,4117,62450,55988,55351,19808,29557,5986,637,6462,
Uttar Pradesh,272,3619,2946,1293,1247,46,1653,653,319,334,20,1090,9774,9018,8880,4476,3315,1089,138,756,
Uttar Pradesh,273,15144,13314,4996,4195,801,8318,1758,1003,755,72,4558,40454,35872,35222,19546,13326,2350,651,4582,
Uttar Pradesh,274,11048,8954,5139,4139,1000,3815,2069,865,1204,26,3317,34270,31562,30542,13000,12977,4565,1020,2708,
Uttar Pradesh,275,6217,5208,2473,2470,3,2735,996,565,431,13,1587,16247,14299,13962,7288,5425,1249,337,1948,
Uttar Pradesh,279,3209,2378,1821,1773,48,557,808,384,424,23,942,8843,8170,8026,3260,3579,1187,144,673,
Uttar Pradesh,281,29000,20755,13801,13636,165,6953,8082,3812,4270,164,8826,120278,109400,106108,36169,53710,16229,3291,10878,
Uttar Pradesh,282,22586,16459,11590,11433,157,4869,5967,2904,3063,161,6710,118750,107691,101637,31151,52145,18341,6054,11059,
Uttar Pradesh,291,4556,2724,1441,1429,12,1283,1830,599,1231,2,1236,26509,22721,22570,10994,8291,3285,151,3788,
Uttar Pradesh,292,1918,1559,971,971,0,588,355,192,163,4,558,7001,6336,6187,3131,2522,534,148,665,
Uttar Pradesh,293,36377,28833,18899,18021,878,9934,7474,3560,3914,71,10954,172250,152106,146418,53185,76726,16507,5688,20144,
Uttar Pradesh,302,7079,5110,2734,2733,1,2376,1964,923,1041,4,2128,24052,21991,21285,7087,10651,3547,705,2061,
Uttar Pradesh,303,2779,2378,1762,1413,349,616,401,289,112,0,775,53373,37242,34416,28116,5337,963,2825,16131,
Uttar Pradesh,309,10674,7004,4552,4142,410,2452,3626,1226,2400,45,3095,41574,35503,34517,10390,11192,12935,986,6071,
Uttar Pradesh,310,9733,7410,5318,5296,22,2092,2267,762,1505,55,2921,28438,26423,25751,11167,10328,4256,673,2015,
Uttar Pradesh,321,3189,2510,2421,2189,232,89,668,366,302,11,957,7958,7377,6969,4057,2247,665,408,581,
Uttar Pradesh,323,5405,4525,4405,4129,276,121,858,388,470,22,1629,14748,13201,12196,6802,3675,1719,1006,1547,
Uttar Pradesh,324,4552,4089,1379,1169,210,2710,423,283,140,40,1364,8633,8319,8108,5564,2202,342,210,314,
Uttar Pradesh,325,6150,4922,4076,3610,466,846,1221,566,655,7,1893,26493,24640,23908,9993,9463,4452,731,1853,
Uttar Pradesh,329,76758,70313,27153,26518,635,43160,6321,2763,3558,125,22784,153340,142927,137448,87962,39759,9727,5477,10413,
Uttar Pradesh,331,2220,1895,740,739,1,1155,323,110,213,2,673,6139,5558,5343,3850,681,812,214,581,
Uttar Pradesh,382,2256,1844,1534,1529,5,310,412,131,281,0,690,4359,4086,3943,2273,1012,658,143,273,
Uttar Pradesh,383,51,35,29,29,0,6,15,6,9,1,13,58,57,56,28,17,11,0,1,
Uttar Pradesh,581,2643,1524,1069,1057,12,455,1119,369,750,1,852,13277,11777,11172,2704,5766,2702,605,1500,
Uttar Pradesh,Other,53091,37388,26848,26411,437,10539,15370,6727,8643,332,16280,150937,138828,133766,57332,51481,24953,5063,12109,
Uttarakhand,All,414972,336436,154719,133653,21066,181717,78322,34263,44059,214,125978,1278458,1144063,1111308,578582,360133,172593,32754,134395,
Uttarakhand,103,2541,1894,729,624,105,1166,647,322,325,0,772,5008,4685,4569,2249,1669,651,116,323,
Uttarakhand,104,313,196,175,175,0,21,117,108,9,0,97,1289,1206,1188,556,470,162,18,83,
Uttarakhand,105,1002,770,215,207,8,555,232,66,166,0,355,3509,3263,3073,1513,751,809,191,246,
Uttarakhand,106,6249,4900,2051,2049,2,2850,1312,533,779,37,1916,14947,13977,13651,7663,3485,2503,326,970,
Uttarakhand,107,16514,13468,6146,5809,337,7323,3044,973,2071,2,5036,60828,54042,52616,31811,13723,7082,1427,6786,
Uttarakhand,108,851,710,321,198,123,389,141,85,56,0,258,1399,1309,1294,806,414,74,15,90,
Uttarakhand,110,1692,1389,809,676,133,580,303,143,160,0,516,4560,4228,4167,2542,1234,391,61,332,
Uttarakhand,120,35,26,22,22,0,4,9,4,5,0,11,45,38,36,19,9,8,3,7,
Uttarakhand,131,3090,2646,2557,2068,489,89,443,136,307,1,960,8036,7490,7236,4137,2037,1062,254,546,
Uttarakhand,139,1101,856,625,577,48,231,245,120,125,0,343,3179,2871,2752,1530,1025,197,120,308,
Uttarakhand,141,1420,1176,1018,625,393,158,244,97,147,0,430,2854,2643,2618,1566,783,269,26,211,
Uttarakhand,151,344,299,299,215,84,0,43,18,25,2,103,511,457,457,290,108,59,0,54,
Uttarakhand,152,10045,8776,6752,4554,2198,2024,1269,624,645,0,3056,19723,18110,17501,11625,3744,2132,609,1613,
Uttarakhand,161,16,11,11,11,0,0,5,3,2,0,5,19,19,19,12,5,2,0,0,
Uttarakhand,162,4570,3529,2826,2732,94,703,1026,339,687,15,1394,16710,15316,14646,7777,3712,3157,671,1394,
Uttarakhand,170,21969,17961,10278,9713,565,7683,3999,2030,1969,9,6585,61036,55450,52891,30030,15972,6889,2559,5586,
Uttarakhand,181,1496,940,509,483,26,431,556,144,412,1,443,4142,3796,3679,1219,1309,1151,116,346,
Uttarakhand,192,482,392,193,193,0,199,90,27,63,0,146,1560,1303,1290,497,499,294,12,257,
Uttarakhand,201,2326,2007,747,747,0,1260,319,120,199,0,725,9585,8236,8211,6119,1422,670,25,1349,
Uttarakhand,202,32285,28127,6836,6237,599,21292,4119,1621,2498,39,9998,83332,74989,73095,41125,19002,12968,1894,8343,
Uttarakhand,203,752,555,340,330,10,215,197,44,153,0,234,2603,2420,2349,944,679,726,71,183,
Uttarakhand,210,67244,47781,25322,20602,4720,22458,19464,6950,12514,0,20323,202079,185369,181485,67347,67359,46779,3885,16710,
Uttarakhand,221,9184,7916,3949,3804,145,3967,1259,608,651,10,3006,38745,33539,32934,14669,15655,2610,605,5206,
Uttarakhand,222,30307,25084,12544,12151,393,12540,5190,2429,2761,33,9381,84825,77432,75609,37819,25939,11851,1823,7393,
Uttarakhand,231,3378,2868,930,926,4,1938,508,310,198,3,1077,11074,9862,9732,4890,3458,1384,130,1212,
Uttarakhand,239,5944,4593,2324,2225,99,2270,1340,520,820,11,1835,19121,17523,17065,7069,5917,4079,459,1598,
Uttarakhand,241,2113,1742,1499,1499,0,243,371,190,181,0,643,4618,4388,4244,2507,1216,521,143,230,
Uttarakhand,242,2744,2173,679,672,7,1494,572,213,359,0,835,11887,11355,11279,3752,5799,1728,76,532,
Uttarakhand,243,3698,2879,1256,1235,21,1623,820,521,299,0,1134,14220,12492,12300,5991,5463,846,192,1728,
Uttarakhand,251,3192,2639,1598,1598,0,1041,552,347,205,1,953,12713,11071,10564,5259,4632,673,507,1642,
Uttarakhand,252,405,337,325,325,0,12,67,21,46,1,123,879,788,754,394,283,77,34,91,
Uttarakhand,259,9756,8321,4474,4040,434,3847,1416,826,590,20,2988,20884,18967,18425,12587,4408,1430,541,1917,
Uttarakhand,261,300,275,91,78,13,184,25,17,8,0,91,531,504,497,393,87,17,7,27,
Uttarakhand,262,460,316,156,137,19,160,144,44,100,0,131,1202,1109,1070,349,449,272,40,93,
Uttarakhand,263,1250,803,339,313,26,464,448,119,329,0,379,11087,8833,8738,2262,2218,4258,94,2254,
Uttarakhand,264,1290,1189,836,456,380,354,101,65,36,0,382,2478,2268,2233,1336,568,329,35,210,
Uttarakhand,265,4610,3686,1953,1417,536,1733,922,357,565,2,1377,16813,13591,12926,6016,5222,1688,664,3222,
Uttarakhand,271,7397,6483,3705,1433,2272,2778,914,432,482,0,2205,18928,17514,16766,10444,4743,1579,748,1414,
Uttarakhand,272,1505,1253,402,387,15,851,252,139,113,0,453,4039,3668,3581,2024,1221,336,86,371,
Uttarakhand,273,13066,11205,7599,3817,3782,3606,1862,735,1127,0,3910,31933,28680,27327,15988,7319,4020,1352,3253,
Uttarakhand,274,7036,6262,1588,1395,193,4674,755,548,207,19,2116,14278,13153,12698,8525,3569,604,455,1125,
Uttarakhand,275,8425,7476,2489,2338,151,4987,950,437,513,0,2536,18179,17056,16678,10297,4792,1589,378,1123,
Uttarakhand,279,3171,2644,1172,1111,61,1472,527,188,339,0,941,8468,7059,6949,3498,2338,1113,111,1409,
Uttarakhand,281,15644,12427,4790,4677,113,7637,3209,2160,1049,8,4774,91160,79407,76082,42086,30274,3722,3325,11753,
Uttarakhand,282,5058,4097,2026,2005,21,2071,962,535,427,0,1582,15946,14103,13178,6838,5064,1276,925,1843,
Uttarakhand,291,10176,6719,3430,3350,80,3289,3457,1510,1947,0,2910,43150,35647,34118,15983,14998,3137,1529,7503,
Uttarakhand,292,2143,1899,139,137,2,1760,244,171,73,0,631,4496,4159,4090,2787,1142,161,68,337,
Uttarakhand,293,39373,33979,10296,9382,914,23683,5394,2732,2662,0,11877,105852,95841,92968,61244,22889,8835,2873,10011,
Uttarakhand,302,1237,666,126,124,2,540,571,477,94,0,203,1845,1629,1613,465,965,183,17,216,
Uttarakhand,309,28415,25152,9706,9075,631,15446,3263,1631,1632,0,8468,77108,68577,66914,43677,17118,6119,1663,8531,
Uttarakhand,310,3043,2565,732,716,16,1833,477,189,288,1,921,6248,5778,5611,3478,1370,763,168,470,
Uttarakhand,321,489,286,197,94,103,89,203,60,143,0,144,2747,2336,2040,703,1019,318,296,411,
Uttarakhand,325,4968,3859,1607,1076,531,2252,1109,496,613,0,1499,16080,14998,14536,5119,6835,2582,462,1082,
Uttarakhand,329,3585,3031,1005,860,145,2026,555,158,397,0,1086,8559,8074,7739,4541,1702,1496,336,485,
Uttarakhand,581,171,67,67,67,0,0,104,16,88,0,61,571,525,526,113,155,258,0,46,
Uttarakhand,Other,5103,3139,1916,1892,24,1223,1964,560,1404,0,1620,50836,40921,40706,14101,11897,14708,216,9915,
West Bengal,All,713643,564987,356173,335210,20963,208813,146658,58537,88121,1998,219544,2267566,2007888,1938731,1058560,608057,272114,69157,259678,
West Bengal,16,637,381,291,258,33,90,255,112,143,0,190,1449,1227,1153,492,425,236,74,222,
West Bengal,101,172,124,96,66,30,28,48,26,22,0,44,343,331,328,67,194,67,3,12,
West Bengal,102,3153,2268,307,282,25,1961,885,357,528,0,953,9264,8636,8449,3715,3043,1691,186,628,
West Bengal,103,1217,656,525,430,95,131,556,270,286,6,352,5890,5159,4975,980,3050,945,184,731,
West Bengal,104,6787,5040,1605,1596,9,3435,1732,578,1154,16,2274,17248,16324,15881,8712,4964,2205,443,924,
West Bengal,105,4655,3558,2221,2178,43,1337,1098,435,663,0,1545,13599,12039,11687,6719,3081,1887,352,1560,
West Bengal,106,19533,13808,10362,9858,504,3446,5347,2217,3130,378,5558,33681,30571,29631,12674,13286,3671,940,3110,
West Bengal,107,55422,44738,32648,29048,3600,12089,10629,4517,6112,55,16856,109787,97987,92610,49315,29950,13345,5377,11800,
West Bengal,108,3856,2995,1429,1411,18,1566,860,389,471,1,1175,8649,7862,7589,3760,2809,1020,273,787,
West Bengal,110,11624,8861,3027,2549,478,5834,2760,785,1975,5,3507,35397,31838,30783,16132,9473,5178,1054,3559,
West Bengal,120,11301,9624,4960,4499,461,4664,1376,382,994,302,3161,18582,16586,15295,8384,5505,1406,1292,1996,
West Bengal,131,123628,113582,106580,103347,3233,7002,10033,6218,3815,13,36779,248971,220569,212024,164914,37148,9962,8544,28402,
West Bengal,139,10843,8810,6848,5705,1143,1962,2010,929,1081,22,3250,24196,22077,20876,11855,6175,2846,1201,2119,
West Bengal,141,26465,19427,13214,9866,3348,6213,6994,1571,5423,43,7771,65337,60284,57982,27141,17629,13212,2302,5053,
West Bengal,143,4052,3498,2577,1642,935,921,555,149,406,0,1221,9288,8499,7883,4950,1742,1191,615,789,
West Bengal,151,37133,32849,12887,11099,1788,19962,4235,1475,2760,49,10884,82960,79384,77790,52953,15826,9011,1594,3576,
West Bengal,152,9440,7793,3725,3397,328,4069,1644,709,935,3,2723,23666,21004,20320,10540,5355,4425,683,2662,
West Bengal,161,325,181,181,181,0,0,94,52,42,50,71,466,444,427,208,177,42,17,22,
West Bengal,162,9848,6898,4664,4609,55,2234,2923,1003,1920,28,2893,32751,30533,29341,9121,9175,11045,1192,2218,
West Bengal,170,9449,7582,5073,4634,439,2509,1812,836,976,56,3007,22804,20439,19659,10694,6266,2699,780,2365,
West Bengal,181,4000,2772,1757,1735,22,1015,1220,593,627,8,1200,14663,13320,13019,6517,5275,1227,300,1343,
West Bengal,191,5117,3002,1110,1062,48,1892,2113,486,1627,3,1789,27865,23096,22081,11005,5384,5692,1014,4769,
West Bengal,192,8224,6887,1820,1819,1,5067,1337,855,482,0,2744,69179,57255,52062,32246,17312,2504,5193,11924,
West Bengal,201,11761,7754,2892,2787,105,4862,3975,1829,2146,33,3813,71712,64806,63238,28573,29122,5543,1568,6906,
West Bengal,202,7602,4219,2770,2505,265,1449,3364,989,2375,20,2260,32461,28301,27053,8874,11584,6595,1247,4160,
West Bengal,203,2496,2164,2151,1879,272,13,332,143,189,0,580,8626,5383,5271,3306,1031,934,112,3243,
West Bengal,210,10334,4172,3670,3206,464,502,6158,1388,4770,4,2960,51307,44929,42999,14531,15682,12786,1930,6378,
West Bengal,221,4507,2941,2184,2184,0,757,1532,694,838,34,1302,13205,11713,11229,3796,4234,3199,484,1492,
West Bengal,222,28776,23056,14839,13722,1117,8218,5646,2574,3072,74,8768,67829,62643,60322,31710,17775,10837,2320,5186,
West Bengal,231,3550,2658,1466,1466,0,1192,892,276,616,0,1100,10748,10033,9631,4199,3202,2230,402,715,
West Bengal,239,20208,16367,9089,8967,122,7278,3826,1966,1860,15,6709,72964,66229,64705,38427,21350,4928,1525,6735,
West Bengal,241,83901,68806,31558,31453,105,37248,15002,6281,8721,92,29342,493495,424671,417277,234301,144217,38759,7394,68824,
West Bengal,242,3383,2549,1497,1493,4,1052,799,353,446,35,1013,10442,9282,8662,4176,2865,1621,619,1160,
West Bengal,243,25587,20899,4870,4866,4,16029,4610,1568,3042,77,8162,70423,65504,64216,36852,17261,10103,1288,4919,
West Bengal,251,11502,8442,4767,4742,25,3675,3042,1509,1533,19,3357,32515,29560,27771,13736,10374,3661,1789,2955,
West Bengal,252,64,45,8,5,3,37,18,2,16,1,9,29,28,27,17,4,6,1,1,
West Bengal,259,12663,9178,4956,4837,119,4223,3387,1103,2284,97,3697,34213,30546,28643,13845,7233,7565,1903,3667,
West Bengal,261,1138,878,621,619,2,257,260,141,119,0,340,4143,3635,3219,1878,993,348,415,508,
West Bengal,263,221,181,180,176,4,1,38,21,17,2,64,672,612,580,278,205,97,33,60,
West Bengal,264,605,518,238,221,17,280,87,11,76,0,168,1613,1475,1435,1144,85,206,40,138,
West Bengal,265,1252,781,389,375,14,392,455,204,251,16,373,4868,4338,4283,1394,2104,785,56,530,
West Bengal,271,2703,1768,1270,1247,23,498,936,372,564,0,780,14436,10345,9961,3607,3936,2418,384,4091,
West Bengal,272,7304,4983,1376,1358,18,3607,2319,389,1930,2,2377,33750,29536,29133,12669,4790,11674,403,4214,
West Bengal,273,2401,1332,302,256,46,1030,1061,429,632,9,720,8405,7928,7734,1835,3900,1999,194,477,
West Bengal,274,4599,3629,1887,1811,76,1742,950,213,737,20,1337,10341,9850,9507,4682,2900,1925,343,491,
West Bengal,275,792,506,217,215,2,289,259,84,175,28,224,2557,2249,2087,907,696,484,161,308,
West Bengal,279,5213,3879,3597,3565,32,282,1325,582,743,9,1525,19538,17755,17268,9435,4907,2926,488,1783,
West Bengal,281,10181,5852,4307,4304,3,1545,4109,1919,2190,220,2946,38842,33996,32205,10966,15267,5972,1791,4846,
West Bengal,282,11396,8158,5511,5497,14,2647,3233,1470,1763,5,3480,42458,36779,34721,16269,13064,5388,2057,5679,
West Bengal,292,276,186,18,18,0,168,86,74,12,4,86,nan,938,905,371,496,38,34,147,
West Bengal,nan,93,60,29,29,0,31,27,9,18,6,26,359,321,315,75,143,97,6,38,
West Bengal,293,19240,16165,10332,10107,225,5833,3076,1733,1343,0,5827,50103,45849,44206,30783,9719,3704,1643,4254,
West Bengal,301,23,14,13,13,0,1,9,6,3,0,7,109,100,95,51,37,7,6,9,
West Bengal,302,14012,11225,4661,4653,8,6564,2755,1264,1491,32,4240,53420,49500,47870,23036,19615,5219,1629,3920,
West Bengal,309,363,302,277,275,2,25,61,14,47,0,108,926,818,785,438,135,212,34,108,
West Bengal,310,1972,1396,751,742,9,645,573,168,405,4,631,4947,4638,4539,1979,1636,924,99,309,
West Bengal,321,4020,1620,1113,741,372,507,2400,464,1936,0,1222,10734,10128,9883,1945,3835,4103,245,606,
West Bengal,322,63,53,53,53,0,0,10,8,2,0,19,148,136,130,92,35,3,6,12,
West Bengal,324,84,74,74,12,62,0,10,9,1,0,23,120,114,111,66,43,2,3,6,
West Bengal,325,799,598,465,419,46,133,200,76,124,1,239,2431,2191,2084,1385,444,255,107,240,
West Bengal,329,4290,2930,2081,1800,281,849,1347,427,920,12,1301,10393,9483,9141,3655,2962,2524,341,910,
West Bengal,331,4140,3452,2808,2772,36,644,674,207,467,13,1199,16220,13863,13261,9746,1842,1673,601,2357,
West Bengal,382,837,594,424,399,25,170,243,117,126,0,256,2742,2533,2492,1280,753,459,41,209,
West Bengal,581,1200,574,15,15,0,559,626,200,426,0,371,10406,9476,9360,2107,3631,3622,116,930,
West Bengal,Other,21217,14698,8543,8137,406,6155,6442,2311,4131,77,6638,75792,60211,58524,27045,20706,10773,1687,15581,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
