State,Industrial Code,No. of Persons Engaged (no.),Workers,Directly Employed,Men,Women,Employed Through Contractors,Employees Other Than Workers,Supervisory and Managerial,Other Employees,Unpaid family members/proprietor etc,Total Mandays Employed (in '000),Wages and Salaries Including,Wages and Salary Including Bonus,Wages and Salary,workers,Supervisory & Managerial,Other Employees,Bonus to All Staff,Employers' Contribution,
Chattisgarh,302,1713,1276,1023,906,117,254,436,187,249,1,536,4921,4391,4322,1903,1864,555,68,530,
Chattisgarh,309,49,33,33,33,0,0,16,5,11,0,15,61,60,59,37,9,13,2,1,
Chattisgarh,310,831,757,673,669,4,84,69,37,32,6,242,1255,1191,1191,974,147,70,0,64,
Chattisgarh,329,210,149,149,149,0,0,61,40,21,0,72,558,519,520,218,255,47,0,39,
Chattisgarh,331,300,221,45,45,0,176,78,38,40,1,91,1281,1195,1153,402,438,313,42,86,
Chattisgarh,383,1095,1036,56,56,0,980,52,11,41,7,396,8733,6392,6043,5560,159,324,350,2341,
Chattisgarh,Other,11989,9123,6508,6241,267,2615,2833,1244,1589,35,3716,32205,29932,28962,16398,7632,4932,970,2273,
Dadra & N Haveli & Daman & Diu,All,276094,208974,110091,91785,18306,98883,66897,44423,22474,222,82804,822273,761179,732609,367607,278798,86204,28570,61094,
Dadra & N Haveli & Daman & Diu,104,156,39,25,25,0,14,117,34,83,0,48,700,683,662,62,374,226,24,17,
Dadra & N Haveli & Daman & Diu,106,135,108,108,108,0,0,28,15,13,0,42,585,556,543,169,341,33,12,29,
Dadra & N Haveli & Daman & Diu,107,460,308,207,159,48,101,152,89,63,1,146,2241,1989,1884,489,1234,161,105,252,
Dadra & N Haveli & Daman & Diu,110,1221,968,615,503,112,353,252,142,110,0,388,4199,3904,3612,1713,1529,370,293,295,
Dadra & N Haveli & Daman & Diu,131,23040,19726,12191,11427,764,7535,3314,1789,1525,0,7625,70863,66652,64182,34623,24627,4932,2471,4211,
Dadra & N Haveli & Daman & Diu,139,8862,7731,4013,2957,1056,3718,1104,701,403,27,2961,19201,18047,17468,11753,4460,1255,578,1154,
Dadra & N Haveli & Daman & Diu,141,7888,7016,5019,3277,1742,1998,872,523,349,0,2572,19897,18335,17654,11349,5114,1191,682,1562,
